Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,383.070007,385.000000,379.329987,379.980011,372.580353,81971800
2022-10-28,379.869995,389.519989,379.679993,389.019989,381.444336,100302000
2022-10-31,386.440002,388.399994,385.260010,386.209991,378.689026,96631300
2022-11-01,390.140015,390.390015,383.290009,384.519989,377.031982,85407600
2022-11-02,383.899994,388.630005,374.760010,374.869995,367.569885,126990400
2022-11-03,371.470001,374.200012,368.790009,371.010010,363.785095,87100100
2022-11-04,377.000000,378.869995,370.000000,376.350006,369.021057,103505200
2022-11-07,377.709991,380.570007,375.529999,379.950012,372.550995,68286900
2022-11-08,381.109985,385.119995,377.720001,382.000000,374.561035,84641100
2022-11-09,379.929993,381.140015,373.609985,374.130005,366.844360,78495500
2022-11-10,388.049988,395.040009,385.640015,394.690002,387.003937,141455800
2022-11-11,395.589996,399.350006,393.609985,398.510010,390.749573,93839900
2022-11-14,396.660004,400.179993,394.829987,395.119995,387.425537,71903500
2022-11-15,401.149994,402.309998,394.489990,398.489990,390.729889,93194500
2022-11-16,396.779999,397.779999,394.790009,395.450012,387.749146,68508500
2022-11-17,390.459991,394.950012,390.140015,394.239990,386.562714,74496300
2022-11-18,397.739990,397.809998,393.040009,396.029999,388.317810,92922500
2022-11-21,394.640015,395.820007,392.660004,394.589996,386.905884,51243200
2022-11-22,396.630005,400.070007,395.149994,399.899994,392.112427,60429000
2022-11-23,399.549988,402.929993,399.309998,402.420013,394.583405,68261600
2022-11-25,401.829987,402.910004,401.540009,402.329987,394.495148,30545400
2022-11-28,399.089996,400.809998,395.109985,395.910004,388.200165,67881600
2022-11-29,396.049988,397.299988,393.299988,395.230011,387.533417,52310000
2022-11-30,395.489990,407.679993,393.480011,407.679993,399.740967,144566700
2022-12-01,408.769989,410.000000,404.750000,407.380005,399.446808,76398200
2022-12-02,402.250000,407.859985,402.140015,406.910004,398.985931,85342700
2022-12-05,403.950012,404.929993,398.170013,399.589996,391.808502,77289800
2022-12-06,399.420013,399.989990,391.640015,393.829987,386.160675,77972200
2022-12-07,392.940002,395.640015,391.970001,393.160004,385.503754,65927900
2022-12-08,395.140015,397.359985,393.269989,396.239990,388.523712,60737900
2022-12-09,394.940002,397.619995,393.149994,393.279999,385.621399,81447700
2022-12-12,394.109985,398.950012,393.410004,398.950012,391.181000,75405800
2022-12-13,410.220001,410.489990,399.070007,401.970001,394.142181,123782500
2022-12-14,401.609985,405.500000,396.309998,399.399994,391.622192,108111300
2022-12-15,394.299988,395.250000,387.890015,389.630005,382.042480,117705900
2022-12-16,385.179993,386.579987,381.040009,383.269989,377.532013,119858000
2022-12-19,383.470001,383.820007,378.279999,380.019989,374.330658,79878100
2022-12-20,379.230011,382.230011,377.850006,380.540009,374.842896,74427200
2022-12-21,383.250000,387.410004,382.690002,386.230011,380.447754,78167400
2022-12-22,383.049988,386.209991,374.769989,380.720001,375.020233,100120900
2022-12-23,379.649994,383.059998,378.029999,382.910004,377.177399,59857300
2022-12-27,382.790009,383.149994,379.649994,381.399994,375.690033,51638200
2022-12-28,381.329987,383.390015,376.420013,376.660004,371.020966,70911500
2022-12-29,379.630005,384.350006,379.079987,383.440002,377.699493,66970900
2022-12-30,380.640015,382.579987,378.429993,382.429993,376.704590,84022200
2023-01-03,384.369995,386.429993,377.829987,380.820007,375.118744,74850700
2023-01-04,383.179993,385.880005,380.000000,383.760010,378.014709,85934100
2023-01-05,381.720001,381.839996,378.760010,379.380005,373.700256,76970500
2023-01-06,382.609985,389.250000,379.410004,388.079987,382.269989,104189600
2023-01-09,390.369995,393.700012,387.670013,387.859985,382.053284,73978100
2023-01-10,387.250000,390.649994,386.269989,390.579987,384.732574,65358100
2023-01-11,392.230011,395.600006,391.380005,395.519989,389.598602,68881100
2023-01-12,396.670013,398.489990,392.420013,396.959991,391.017059,90157700
2023-01-13,393.619995,399.100006,393.339996,398.500000,392.534027,63903900
2023-01-17,398.480011,400.230011,397.059998,397.769989,391.814941,62677300
2023-01-18,399.010010,400.119995,391.279999,391.489990,385.628937,99632300
2023-01-19,389.359985,391.079987,387.260010,388.640015,382.821655,86958900
2023-01-20,390.100006,396.040009,388.380005,395.880005,389.953278,91806400
2023-01-23,396.720001,402.649994,395.720001,400.630005,394.632111,84178800
2023-01-24,398.880005,401.149994,397.640015,400.200012,394.208557,59524900
2023-01-25,395.950012,400.700012,393.559998,400.350006,394.356323,84800300
2023-01-26,403.130005,404.920013,400.029999,404.750000,398.690430,72287400
2023-01-27,403.660004,408.160004,403.440002,405.679993,399.606506,68346200
2023-01-30,402.799988,405.130005,400.279999,400.589996,394.592712,74202000
2023-01-31,401.130005,406.529999,400.769989,406.480011,400.394562,86811800
2023-02-01,405.209991,413.670013,402.350006,410.799988,404.649872,101459200
2023-02-02,414.859985,418.309998,412.880005,416.779999,410.540314,101654500
2023-02-03,411.589996,416.970001,411.089996,412.350006,406.176666,94736800
2023-02-06,409.790009,411.290009,408.100006,409.829987,403.694366,60295300
2023-02-07,408.869995,416.489990,407.570007,415.190002,408.974152,90990700
2023-02-08,413.130005,414.529999,409.929993,410.649994,404.502075,76227500
2023-02-09,414.410004,414.570007,405.809998,407.089996,400.995422,78694900
2023-02-10,405.859985,408.440002,405.010010,408.040009,401.931213,70769700
2023-02-13,408.720001,412.970001,408.239990,412.829987,406.649475,64913500
2023-02-14,411.239990,415.049988,408.510010,412.640015,406.462311,88389300
2023-02-15,410.350006,414.059998,409.470001,413.980011,407.782288,61555700
2023-02-16,408.790009,412.910004,408.140015,408.279999,402.167572,76431500
2023-02-17,406.059998,407.510010,404.049988,407.260010,401.162842,89257800
2023-02-21,403.059998,404.160004,398.820007,399.089996,393.115173,82655900
2023-02-22,399.519989,401.130005,397.019989,398.540009,392.573425,83742300
2023-02-23,401.559998,402.200012,396.250000,400.660004,394.661652,96242400
2023-02-24,395.420013,397.250000,393.640015,396.380005,390.445770,108194400
2023-02-27,399.869995,401.290009,396.750000,397.730011,391.775543,80444700
2023-02-28,397.230011,399.279999,396.149994,396.260010,390.327576,96438600
2023-03-01,395.410004,396.690002,393.380005,394.739990,388.830292,99706800
2023-03-02,392.679993,398.690002,392.329987,397.809998,391.854309,85127800
2023-03-03,399.709991,404.450012,399.029999,404.190002,398.138824,90120000
2023-03-06,405.049988,407.450012,404.010010,404.470001,398.414612,72795900
2023-03-07,404.420013,404.670013,397.630005,398.269989,392.307434,108310600
2023-03-08,398.390015,399.709991,396.589996,398.920013,392.947754,74746600
2023-03-09,399.739990,401.480011,390.529999,391.559998,385.697906,111945300
2023-03-10,390.989990,393.160004,384.320007,385.910004,380.132477,189253000
2023-03-13,381.809998,390.390015,380.649994,385.359985,379.590698,157790000
2023-03-14,390.500000,393.450012,387.049988,391.730011,385.865387,149752400
2023-03-15,385.890015,389.489990,383.709991,389.279999,383.452057,172996900
2023-03-16,386.820007,396.470001,386.290009,396.109985,390.179749,143254200
2023-03-17,393.220001,394.399994,388.549988,389.989990,385.617523,140553400
2023-03-20,390.799988,394.170013,390.070007,393.739990,389.325470,93055800
2023-03-21,397.239990,399.410004,395.579987,398.910004,394.437531,91524200
2023-03-22,398.730011,402.489990,392.070007,392.109985,387.713745,111746600
2023-03-23,395.089996,399.290009,390.350006,393.170013,388.761871,119351300
2023-03-24,391.839996,395.839996,389.399994,395.750000,391.312927,107682400
2023-03-27,398.119995,398.920013,395.559998,396.489990,392.044647,74010400
2023-03-28,395.769989,396.489990,393.690002,395.600006,391.164642,62871700
2023-03-29,399.929993,401.600006,398.679993,401.350006,396.850159,77497900
2023-03-30,404.089996,404.350006,401.760010,403.700012,399.173859,69840000
2023-03-31,404.660004,409.700012,404.549988,409.390015,404.800049,112062600
2023-04-03,408.850006,411.369995,408.440002,410.950012,406.342560,67391100
2023-04-04,411.619995,411.920013,407.239990,408.670013,404.088074,66601500
2023-04-05,407.910004,408.700012,405.880005,407.600006,403.030090,65200200
2023-04-06,406.769989,409.480011,405.679993,409.190002,404.602295,63743300
2023-04-10,406.609985,409.690002,405.970001,409.609985,405.017548,63681000
2023-04-11,410.260010,411.179993,408.920013,409.720001,405.126343,59297900
2023-04-12,411.869995,412.170013,407.440002,408.049988,403.475037,86420400
2023-04-13,409.179993,413.839996,407.989990,413.470001,408.834290,85814800
2023-04-14,412.809998,415.089996,410.059998,412.459991,407.835602,78161500
2023-04-17,412.369995,413.959991,411.089996,413.940002,409.299011,66436400
2023-04-18,415.579987,415.720001,412.779999,414.209991,409.565979,63560000
2023-04-19,412.220001,415.079987,412.160004,414.140015,409.496796,55227300
2023-04-20,411.209991,413.700012,410.269989,411.880005,407.262115,75840400
2023-04-21,412.190002,412.679993,410.170013,412.200012,407.578522,73457400
2023-04-24,411.989990,413.070007,410.600006,412.630005,408.003693,64332100
2023-04-25,410.579987,411.160004,406.019989,406.079987,401.527100,97766700
2023-04-26,406.720001,407.839996,403.779999,404.359985,399.826416,80447000
2023-04-27,407.000000,412.690002,406.739990,412.410004,407.786163,92968400
2023-04-28,411.489990,415.940002,411.429993,415.929993,411.266724,89335600
2023-05-01,415.470001,417.619995,415.269989,415.510010,410.851410,62122300
2023-05-02,414.769989,414.820007,407.820007,410.839996,406.233734,103998500
2023-05-03,411.359985,413.869995,407.769989,408.019989,403.445374,91531800
2023-05-04,406.929993,407.269989,403.739990,405.130005,400.587769,94901900
2023-05-05,408.910004,413.720001,408.640015,412.630005,408.003693,87844000
2023-05-08,412.970001,413.239990,411.279999,412.739990,408.112488,50046800
